Board Name,Class Name,Subject Name,Series Name,Chapter Name,Topic Name,Subtopic Name,Question Type,"QuestionIf question is mcq or Assertion & Reason  use option 1 to option 4 and in answer give 1,2,3,4 number only not option value, if true false, or any other type question give answer in answer coloumn and for fill in the blanks you can use comma seprator for multiple filling answers eg fill1,fill2, fill3 : ",Answer,Option1,Option2,Option3,Option4,Explanation,Question Weight(optional),Difficulty Level,Learning Outcomes(optional),"Skills(optional if any seprate with comma ,)","Tags(optional if any seprate with comma ,)","Status(1==active,0=Inactive)"
CBSE,Class 3,Science,Illustrative Science,"Chapter 11- Light, Sound and Force",,,Long Answer Questions (QPG),What are opaque objects?,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo","Illustrative Science  Class 3 Chapter 11 Light, Sound and Force :Long ans type ques 2",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 11- Light, Sound and Force",,,Long Answer Questions (QPG),How does a shadow form?,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo","Illustrative Science  Class 3 Chapter 11 Light, Sound and Force :Long ans type ques 3",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 11- Light, Sound and Force",,,Long Answer Questions (QPG),What is noise? Write two sources of noise.,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo","Illustrative Science  Class 3 Chapter 11 Light, Sound and Force :Long ans type ques 4",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 11- Light, Sound and Force",,,Long Answer Questions (QPG),What is force?,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo","Illustrative Science  Class 3 Chapter 11 Light, Sound and Force :Long ans type ques 5",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 11- Light, Sound and Force",,,Fill in the blank (QPG),The ____________________ is the main source of light on earth.,"Hints:(book, bulb, sun, shadow, opposite)",,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo","Illustrative Science  Class 3 Chapter 11 Light, Sound and Force :Fill in the blanks 1",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 11- Light, Sound and Force",,,Fill in the blank (QPG),A ____________________ and door are non-luminous objects.,"Hints:(book, bulb, sun, shadow, opposite)",,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo","Illustrative Science  Class 3 Chapter 11 Light, Sound and Force :Fill in the blanks 2",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 11- Light, Sound and Force",,,Fill in the blank (QPG),The sun and ____________________ are luminous objects.,"Hints:(book, bulb, sun, shadow, opposite)",,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo","Illustrative Science  Class 3 Chapter 11 Light, Sound and Force :Fill in the blanks 3",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 11- Light, Sound and Force",,,Fill in the blank (QPG),A ____________________ is formed when an object blocks the path of light.,"Hints:(book, bulb, sun, shadow, opposite)",,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo","Illustrative Science  Class 3 Chapter 11 Light, Sound and Force :Fill in the blanks 4",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 11- Light, Sound and Force",,,Fill in the blank (QPG),A shadow is always formed on the _________________ side of the source of light.,"Hints:(book, bulb, sun, shadow, opposite)",,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo","Illustrative Science  Class 3 Chapter 11 Light, Sound and Force :Fill in the blanks 5",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 12- Air, Water and Weather",,,Multiple Choice Question (QPG) Test Paper,We breathe in,N/A,oxygen,water,nitrogen,hydrogen,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo","Illustrative Science  Class 3 Chapter 12 Air, Water and Weather :MCQ 1",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 12- Air, Water and Weather",,,Multiple Choice Question (QPG) Test Paper,This season is also called “Fall”.,N/A,Monsoon,Autumn,Winter,Summer,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo","Illustrative Science  Class 3 Chapter 12 Air, Water and Weather :MCQ 2",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 12- Air, Water and Weather",,,Multiple Choice Question (QPG) Test Paper,Plants use ___________ to make food.,N/A,argon,both carbon dioxide and oxygen,oxygen,carbon dioxide,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo","Illustrative Science  Class 3 Chapter 12 Air, Water and Weather :MCQ 3",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 12- Air, Water and Weather",,,Multiple Choice Question (QPG) Test Paper,Sunny days are,N/A,cold,windy,hot,rainy,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo","Illustrative Science  Class 3 Chapter 12 Air, Water and Weather :MCQ 4",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 12- Air, Water and Weather",,,Multiple Choice Question (QPG) Test Paper,We see many beautiful flowers in,N/A,spring,summer,autumn,monsoon,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo","Illustrative Science  Class 3 Chapter 12 Air, Water and Weather :MCQ 5",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 12- Air, Water and Weather",,,True or False (QPG),After summer season monsoon or rainy season comes.,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo","Illustrative Science  Class 3 Chapter 12 Air, Water and Weather :True and false 1",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 12- Air, Water and Weather",,,True or False (QPG),People use blankets and quilts during rainy season.,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo","Illustrative Science  Class 3 Chapter 12 Air, Water and Weather :True and false 2",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 12- Air, Water and Weather",,,True or False (QPG),Strong winds along with heavy rain is called breeze.,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo","Illustrative Science  Class 3 Chapter 12 Air, Water and Weather :True and false 3",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 12- Air, Water and Weather",,,True or False (QPG),Cloudy days are hotter than sunny days.,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo","Illustrative Science  Class 3 Chapter 12 Air, Water and Weather :True and false 4",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 12- Air, Water and Weather",,,True or False (QPG),Spring is the king of all seasons.,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo","Illustrative Science  Class 3 Chapter 12 Air, Water and Weather :True and false 5",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 12- Air, Water and Weather",,,Short Answer Questions (QPG),What is difference between rain and snow?,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo","Illustrative Science  Class 3 Chapter 12 Air, Water and Weather :Short ans type ques 1",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 12- Air, Water and Weather",,,Short Answer Questions (QPG),Why does a hot air balloon rise high in the sky?,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo","Illustrative Science  Class 3 Chapter 12 Air, Water and Weather :Short ans type ques 2",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 12- Air, Water and Weather",,,Short Answer Questions (QPG),Name some natural water resources.,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo","Illustrative Science  Class 3 Chapter 12 Air, Water and Weather :Short ans type ques 3",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 12- Air, Water and Weather",,,Very Short Answer Questions (QPG),Name the following :  The hottest season of the year,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo","Illustrative Science  Class 3 Chapter 12 Air, Water and Weather :Very Short Ans Ques 1",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 12- Air, Water and Weather",,,Very Short Answer Questions (QPG),Name the following :  The gas that you breathe out,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo","Illustrative Science  Class 3 Chapter 12 Air, Water and Weather :Very Short Ans Ques 2",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 12- Air, Water and Weather",,,Very Short Answer Questions (QPG),Name the following :  Three forms of water,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo","Illustrative Science  Class 3 Chapter 12 Air, Water and Weather :Very Short Ans Ques 3",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 12- Air, Water and Weather",,,Very Short Answer Questions (QPG),Name the following : King of seasons,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo","Illustrative Science  Class 3 Chapter 12 Air, Water and Weather :Very Short Ans Ques 4",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 12- Air, Water and Weather",,,Long Answer Questions (QPG),Why do clothes take longer time to dry in rainy season?,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo","Illustrative Science  Class 3 Chapter 12 Air, Water and Weather :Long ans type ques 1",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 12- Air, Water and Weather",,,Long Answer Questions (QPG),"As per the Government rule, factories should be located away from the city and town.Why?",N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo","Illustrative Science  Class 3 Chapter 12 Air, Water and Weather :Long ans type ques 2",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 12- Air, Water and Weather",,,Long Answer Questions (QPG),Which season is important for Indian farmers? Why?,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo","Illustrative Science  Class 3 Chapter 12 Air, Water and Weather :Long ans type ques 3",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 12- Air, Water and Weather",,,Long Answer Questions (QPG),Write four properties of air.,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo","Illustrative Science  Class 3 Chapter 12 Air, Water and Weather :Long ans type ques 4",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 12- Air, Water and Weather",,,Long Answer Questions (QPG),List down uses of air.,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo","Illustrative Science  Class 3 Chapter 12 Air, Water and Weather :Long ans type ques 5",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 12- Air, Water and Weather",,,Long Answer Questions (QPG),Define evaporation.,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo","Illustrative Science  Class 3 Chapter 12 Air, Water and Weather :Long ans type ques 6",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 12- Air, Water and Weather",,,Long Answer Questions (QPG),What does air contain?,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo","Illustrative Science  Class 3 Chapter 12 Air, Water and Weather :Long ans type ques 7",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 12- Air, Water and Weather",,,Long Answer Questions (QPG),What causes change in weather?,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo","Illustrative Science  Class 3 Chapter 12 Air, Water and Weather :Long ans type ques 8",1
