#ID,Chapter Name,Chapter No,Board,Class,Subject,Series,Image,Position,Status,Action
1942,Chapter 14. Google Drive,14,ICSE,Class 6,Computer Science,My Book of Computer Studies,,14,Active,
1943,Chapter 14. India After independence,14,CBSE,Class 8,Social Science,A Text Book of Social Sciences,,14,Active,
1944,Chapter 14. India Gains Independence,14,CBSE,Class 5,Environmental Studies,Blue Planet,,14,Active,
1945,Chapter 14. Let's Communicate,14,CBSE,Class 2,Environmental Studies,Blue Planet,,14,Active,
1946,Chapter 14. Linear Equations,14,ICSE,Class 7,Mathematics,Foundation Mathematics (2023-24),,14,Active,
1947,Chapter 14. Manufacturing Industries in India  II : Mineral based,14,ICSE,Class 10,Geography,A Textbook of Geography (2023-24),,14,Active,
1948,Chapter 14. Our Environment,14,CBSE,Class 5,Science,Science Success,,14,Active,
1949,Chapter 14. Our Environment,14,CBSE,Class 5,Science,Science Success (2023-24),,14,Active,
1950,Chapter 14. Our Helpers,14,CBSE,Class 1,Environmental Studies,Blue Planet,,14,Active,
1951,Chapter 14. Patterns,14,ICSE,Class 4,Mathematics,Foundation Mathematics (2023-24),,14,Active,
1952,Chapter 14. Patterns and Symmetry,14,CBSE,Class 5,Mathematics,Star Maths,,14,Active,
1953,Chapter 14. Practical Geometry,14,CBSE,Class 7,Mathematics,Exploring Mathematics,,14,Active,
1954,Chapter 14. Probability,14,CBSE,Class 10,Mathematics,NCQRT Mathematics,,14,Active,
1955,Chapter 14. Relative Clauses,13,CBSE,Class 8,English Grammar,Step up English Grammar and Composition (For Acad. Year 2023-24),,13,Active,
1956,Chapter 14. Simple Past Tense,14,CBSE,Class 6,English Grammar,Step up English Grammar and Composition (For Acad. Year 2023-24),,14,Active,
1957,Chapter 14. Skeleton  Movement and Locomotion,14,ICSE,Class 9,Biology,A New Approach to I.C.S.E. Biology (2023-24),,14,Active,
1958,Chapter 14. Spell Check,14,CBSE,Class 2,General Knowledge,General Knowledge Times (2023-24),,14,Active,
1959,Chapter 14. Statistics,14,CBSE,Class 10,Mathematics,NCERT Mathematics,,14,Active,
1960,Chapter 14. Statistics,14,CBSE,Class 9,Mathematics,NCERT Mathematics,,14,Active,
1961,Chapter 14. The Birth of The United Nations,14,CBSE,Class 5,Social Studies,Social Studies Success (2023-24),,14,Active,
1962,Chapter 14. The Chalukyas and the Pallavas (Political Developments New Empires and Kingdoms),14,CBSE,Class 6,Social Science,A Text Book of Social Sciences,,14,Active,
1963,Chapter 14. The Earth,14,CBSE,Class 3,Science,Science Success,,14,Active,
1964,Chapter 14. The Earth,14,CBSE,Class 3,Science,Science Success (2023-24),,14,Active,
1965,Chapter 14. The King's Election,14,CBSE,Class 2,English,Get Smart A Multi-skill English Course,,14,Active,
1966,"Chapter 14. The Sun, Moon and Stars",14,CBSE,Class 1,Science,Learning Elementary Science,,14,Active,
1967,Chapter 14. Travel and Communication,14,CBSE,Class 3,Environmental Studies,Blue Planet (2023-24),,14,Active,
1968,Chapter 14. Travel and Communication,14,CBSE,Class 3,Environmental Studies,Blue Planet,,14,Active,
1969,Chapter 14. Travellers to India,14,CBSE,Class 4,Environmental Studies,Blue Planet (2023-24),,14,Active,
1970,Chapter 14. Travellers to India,14,CBSE,Class 4,Environmental Studies,Blue Planet,,14,Active,
1971,Chapter 14. Visualising Solid Shapes,14,CBSE,Class 8,Mathematics,Exploring Mathematics,,14,Active,
1972,Chapter 14. Water,14,CBSE,Class 6,Science,Science Success,,14,Active,
1973,Chapter 14. Water,14,CBSE,Class 6,Science,Learning Elementary Science,,14,Active,
1974,Chapter 14. Why is the Elephant Grey?,14,CBSE,Class 1,English,Get Smart A Multi-skill English Course,,14,Active,
1975,Chapter 14. इक्कीसवीं सदी का करिश्मा,14,CBSE,Class 5,Hindi,Nootan Saral Hindi Mala,,14,Active,
1976,Chapter 14. नीति के दोहे,14,CBSE,Class 6,Hindi,Nootan Saral Hindi Mala,,14,Active,
1977,Chapter 14. मेरे मास्टर साहब,14,CBSE,Class 8,Hindi,Nootan Saral Hindi Mala,,14,Active,
1978,Chapter 14. स्वच्छ भारत अभियान,14,CBSE,Class 7,Hindi,Nootan Saral Hindi Mala,,14,Active,
1979,Chapter 14.कितना पानी,14,CBSE,Class 5,Hindi,Bal Bhasha Bharti,,14,Active,
1980,Chapter 14.प्रदूषण,14,CBSE,Class 4,Hindi,Bal Bhasha Bharti,,14,Active,
1981,Chapter 14.महात्मा गांधी,14,CBSE,Class 2,Hindi,Bal Bhasha Bharti,,14,Active,
1982,Chapter 14.मेला,14,CBSE,Class 1,Hindi,Bal Bhasha Bharti,,14,Active,
1983,Chapter 14.हर सुबह,14,CBSE,Class 3,Hindi,Bal Bhasha Bharti,,14,Active,
1984,Chapter 15 Agreement of The Verb With The Subject,15,CBSE,Class 3,English,Elementary English Grammar and Composition,,15,Active,
1985,"Chapter 15 The Sun, the Moon and the Stars",15,CBSE,Class 1,Science,Science Success (2023-24),,15,Active,
1986,Chapter 15 क्रिया,15,CBSE,Class 8,Hindi,Naveen Hindi Vyavaharik Vyakaran Tatha Rachna,,15,Active,
1987,Chapter 15 : Early Man,15,CBSE,Class 1,Social Studies,Social Studies Success,,1,Active,
1988,Chapter 15 : Industrial Development of India,15,CBSE,Class 4,Social Studies,Social Studies Success,,1,Active,
1989,Chapter 15 : Kolkata,15,CBSE,Class 3,Social Studies,Social Studies Success,,1,Active,
1990,Chapter 15 : The Story of the Wheel,15,CBSE,Class 2,Social Studies,Social Studies Success,,1,Active,
1991,Chapter 15 : The Working of the United Nations,15,CBSE,Class 5,Social Studies,Social Studies Success,,1,Active,
1992,Chapter 15 : Top 10 Man made Wonders,4,CBSE,Class 6,General Knowledge,General Knowledge Times (2023-24),,4,Active,
1993,Chapter 15 :Inequlities,15,ICSE,Class 7,Mathematics,Foundation Mathematics,,15,Active,
1994,Chapter 15 Adjectives,15,CBSE,Class 4,English Grammar,Step up English Grammar and Composition (For Acad. Year 2023-24),,15,Active,
1995,"Chapter 15 Am, Is, Are",15,CBSE,Class 2,English Grammar,Step up English Grammar and Composition (For Acad. Year 2023-24),,15,Active,
1996,Chapter 15 Area of Quadrilaterals and Polygons,15,CBSE,Class 8,Mathematics,Mathematics Success,,15,Active,
1997,Chapter 15 Areas,15,CBSE,Class 8,Mathematics,Progress in Mathematics,,15,Active,
1998,Chapter 15 Bonsai—A Tree in a Pot,15,CBSE,Class 7,English,Stepping Stones,,15,Active,
1999,Chapter 15 Chennai,15,CBSE,Class 3,Social Studies,Social Studies  for Juniors,,15,Active,
2000,Chapter 15 Chennai,15,CBSE,Class 3,Social Studies,Social Studies Success (2023-24),,15,Active,
2001,Chapter 15 Classification,15,CBSE,Class 7,General Aptitude,Know Your Aptitude,,15,Active,
2002,Chapter 15 Classification,15,CBSE,Class 8,General Aptitude,Know Your Aptitude,,15,Active,
2003,Chapter 15 Clocks,15,CBSE,Class 4,General Aptitude,Know Your Aptitude,,15,Active,
2004,Chapter 15 Congruence of Triangles,15,CBSE,Class 7,Mathematics,Progress in Mathematics,,15,Active,
2005,Chapter 15 Data Handling,15,ICSE,Class 4,Mathematics,Foundation Mathematics,,15,Active,
2006,Chapter 15 Directions,15,CBSE,Class 2,Environmental Studies,Blue Planet (2023-24),,15,Active,
2007,Chapter 15 Early Man,15,CBSE,Class 1,Social Studies,Social Studies Success (2023-24),,15,Active,
2008,Chapter 15 Formation of Indian Union,15,CBSE,Class 5,Environmental Studies,Blue Planet (2023-24),,15,Active,
2009,Chapter 15 Freedom is Precious,15,CBSE,Class 4,Moral Science,The Mirror of Values,,15,Active,
2010,Chapter 15 Frequency Distribution,15,ICSE,Class 9,Mathematics,I.C.S.E. Foundation Mathematics (2023-24),,15,Active,
2011,Chapter 15 I Had a Dream and I Have Achieved it today,15,CBSE,Class 8,English,Stepping Stones,,15,Active,
2012,Chapter 15 Improvement In Food Resources,15,CBSE,Class 9,Science,NCERT Science,,15,Active,
2013,Chapter 15 Introduction to Graphs,15,CBSE,Class 8,Mathematics,NCERT Mathematics,,15,Active,
2014,Chapter 15 It's Time to Travel,15,CBSE,Class 1,Environmental Studies,Blue Planet (2023-24),,15,Active,
2015,Chapter 15 Life of Early Humans,15,CBSE,Class 3,Social Studies,Illustrative Social Studies,,1,Inactive,
2016,Chapter 15 Light,15,CBSE,Class 7,Science,NCERT Science,,15,Active,
2017,Chapter 15 Lines & Points,15,CBSE,Class 5,General Aptitude,Know Your Aptitude,,15,Active,
2018,Chapter 15 Matchstick Problems,15,CBSE,Class 3,General Aptitude,Know Your Aptitude,,15,Active,
2019,Chapter 15 Means Of Communication,15,CBSE,Class 4,Social Studies,Essential Social Studies for (2023-24),,15,Active,
2020,Chapter 15 Means Of Communication,15,CBSE,Class 4,Social Studies,Social Studies Success (2023-24),,15,Active,
2021,Chapter 15 Means of Communication,15,CBSE,Class 5,Social Studies,Illustrative Social Studies,,15,Active,
2022,Chapter 15 Means of Transport,15,CBSE,Class 2,Social Studies,Social Studies  for Juniors,,15,Active,
2023,Chapter 15 Means of Transports,15,CBSE,Class 4,Social Studies,Social Studies  for Juniors,,15,Active,
2024,Chapter 15 Mera Bharat Mahan,15,CBSE,Class 5,Moral Science,The Mirror of Values,,15,Active,
2025,Chapter 15 Mirror Images,15,CBSE,Class 6,General Aptitude,Know Your Aptitude,,15,Active,
2026,Chapter 15 My House,15,CBSE,Class 3,Social Studies,Illustrative Environmental Studies,,15,Active,
2027,Chapter 15 My House,15,CBSE,Class 3,Environmental Studies,Illustrative Environmental Studies,,15,Active,
2028,Chapter 15 Our Earth – A Unique Planet,15,ICSE,Class 3,Social Studies,Essential Social Studies for (2023-24),,15,Active,
2029,Chapter 15 Our Environment,15,CBSE,Class 10,Science,NCERT Science,,15,Active,
2030,Chapter 15 People Who Help Us,15,CBSE,Class 1,Social Studies,Social Studies  for Juniors,,15,Active,
2031,Chapter 15 Perimeter and Area,15,CBSE,Class 7,Mathematics,Mathematics Success,,15,Active,
2032,"Chapter 15 Personal Pronouns : Number, Gender And Case",15,CBSE,Class 5,English,Elementary English Grammar and Composition,,15,Active,
2033,Chapter 15 Pollution Types And Sources,15,ICSE,Class 9,Geography,A Textbook of Geography (2023-24),,15,Active,
2034,Chapter 15 Pollution and its Sources,15,ICSE,Class 10,Biology,A New Approach to I.C.S.E. Biology (2023-24),,15,Active,
2035,Chapter 15 Pollution Types & Sources,15,ICSE,Class 9,Geography,A Textbook of Geography (2023-24),,15,Active,
2036,Chapter 15 Precautions for Natural Disasters,15,ICSE,Class 5,Social Studies,Essential Social Studies for (2023-24),,15,Active,
2037,Chapter 15 Present Continuous Tense,15,CBSE,Class 5,English Grammar,Step up English Grammar and Composition (For Acad. Year 2023-24),,15,Active,
2038,Chapter 15 Probability,15,CBSE,Class 9,Mathematics,A Complete Course in Mathematics,,15,Active,
2039,Chapter 15 Probability,15,CBSE,Class 10,Mathematics,A Complete Course in Mathematics,,15,Active,
2040,Chapter 15 Probability,15,CBSE,Class 8,Mathematics,Mathematics Success (2023-24),,15,Active,
2041,Chapter 15 Raju's Favourite hobby,15,CBSE,Class 2,English,Stepping Stones,,15,Active,
2042,Chapter 15 Reaching Places,15,CBSE,Class 4,Social Studies,Illustrative Social Studies,,15,Active,
2043,Chapter 15 Reward for Kindness,15,CBSE,Class 3,English,Get Smart A Multi-skill English Course,,15,Active,
2044,Chapter 15 Some Natural Phenomena,15,CBSE,Class 8,Science,NCERT Science,,15,Active,
2045,Chapter 15 The Family At The Zoo,15,CBSE,Class 1,English,Stepping Stones,,15,Active,
2046,Chapter 15 The Little Things That Happen,15,CBSE,Class 6,English,Stepping Stones,,15,Active,
2047,Chapter 15 The New Sanskrit Teacher,15,CBSE,Class 4,English,Get Smart A Multi-skill English Course,,15,Active,
2048,Chapter 15 The Peninsular Plateaus,15,ICSE,Class 4,Social Studies,Essential Social Studies for (2023-24),,15,Active,
2049,Chapter 15 The Sentence,15,CBSE,Class 1,English Grammar,Step up English Grammar and Composition (For Acad. Year 2023-24),,15,Active,
2050,Chapter 15 The Story of the Wheel,15,CBSE,Class 2,Social Studies,Social Studies Success (2023-24),,15,Active,
2051,"Chapter 15 The Sun, Moon and Stars",15,CBSE,Class 1,Science,Illustrative Science,,15,Active,
2052,Chapter 15 The Working of the United Nations,15,CBSE,Class 5,Social Studies,Social Studies  for Juniors,,15,Active,
2053,Chapter 15 Transportation and Communication,15,CBSE,Class 4,Social Studies,Illustrative Environmental Studies,,15,Active,
2054,Chapter 15 Visualising Solid Shapes,15,CBSE,Class 7,Mathematics,NCERT Mathematics,,15,Active,
2055,"Chapter 15 Was, Were",15,CBSE,Class 3,English Grammar,Step up English Grammar and Composition (For Acad. Year 2023-24),,15,Active,
2056,Chapter 15 Water Management,15,CBSE,Class 5,Environmental Studies,Illustrative Environmental Studies,,15,Active,
2057,Chapter 15 Why Third?,15,CBSE,Class 5,English,Get Smart A Multi-skill English Course,,15,Active,
2058,Chapter 15 कौड़ी से ई  मनी तक,15,CBSE,Class 7,Hindi,Nikunj Hindi Pathmala,,1,Active,
2059,Chapter 15 क्रिकेट,15,CBSE,Class 1,Hindi,Nikunj Hindi Pathmala (2023-24),,15,Active,
2060,Chapter 15 क्रिया : काल,15,CBSE,Class 6,Hindi,Naveen Hindi Vyavaharik Vyakaran Tatha Rachna,,15,Active,
2061,Chapter 15 क्रिया : काल,15,CBSE,Class 7,Hindi,Naveen Hindi Vyavaharik Vyakaran Tatha Rachna,,15,Active,
2062,Chapter 15 चित्र वर्णन,15,CBSE,Class 3,Hindi,Naveen Hindi Vyavaharik Vyakaran Tatha Rachna,,15,Active,
2063,Chapter 15 जेल से बहार,15,CBSE,Class 6,Hindi,Nikunj Hindi Pathmala,,1,Active,
2064,Chapter 15 दक्षिण अफ्रीका के गाँधी डॉ. नेल्सन मंडेला,15,CBSE,Class 8,Hindi,Nikunj Hindi Pathmala,,1,Active,
2065,Chapter 15 नीम,15,CBSE,Class 4,Hindi,Nikunj Hindi Pathmala,,1,Active,
2066,Chapter 15 पर्यायवाची शब्द,15,CBSE,Class 5,Hindi,Naveen Hindi Vyavaharik Vyakaran Tatha Rachna,,15,Active,
2067,Chapter 15 पहिया,15,CBSE,Class 1,Hindi,Nikunj Hindi Pathmala,,1,Active,
2068,Chapter 15 पेड़ लगाओ,15,CBSE,Class 2,Hindi,Nikunj Hindi Pathmala (2023-24),,15,Active,
2069,Chapter 15 मिजोरम,15,CBSE,Class 5,Hindi,Nikunj Hindi Pathmala,,1,Active,
2070,Chapter 15 मिस्टर पॉल,15,CBSE,Class 3,Hindi,Nikunj Hindi Pathmala (2023-24),,15,Active,
2071,Chapter 15 मेट्रो की कहानी मेट्रो की जबानी,15,CBSE,Class 4,Hindi,Nootan Saral Hindi Mala,,1,Active,
2072,Chapter 15 मेट्रो की कहानी मेट्रो की जबानी,15,CBSE,Class 4,Hindi,Nikunj Hindi Pathmala,,1,Active,
2073,Chapter 15 रिमझिम बरस रहा है पानी,15,CBSE,Class 1,Hindi,Nootan Saral Hindi Mala,,1,Active,
2074,Chapter 15 विलोम शब्द,15,CBSE,Class 4,Hindi,Naveen Hindi Vyavaharik Vyakaran Tatha Rachna,,15,Active,
2075,Chapter 15 Directions,15,CBSE,Class 2,Environmental Studies,Illustrative Environmental Studies,,15,Active,
2076,Chapter 15 It's Time to Travel,15,CBSE,Class 1,Environmental Studies,Illustrative Environmental Studies,,15,Active,
2077,Chapter 15 Transportation and Communication,15,CBSE,Class 4,Environmental Studies,Illustrative Environmental Studies,,15,Active,
2078,Chapter 15: Air Around Us,15,CBSE,Class 6,Science,NCERT Science,,15,Active,
2079,"Chapter 15.  Use of A, An, The",15,CBSE,Class 2,English,Elementary English Grammar and Composition,,15,Active,
2080,Chapter 15. Air on the Move,15,CBSE,Class 7,Social Science,A Text Book of Social Sciences,,15,Active,
2081,Chapter 15. Algorithms with Block Coding,15,CBSE,Class 6,Computer Science,Computer Science Success,,15,Active,
2082,"Chapter 15. Culture and Science (Buildings, Paintings and Books)",15,CBSE,Class 6,Social Science,A Text Book of Social Sciences,,15,Active,
2083,Chapter 15. Data Handling,15,ICSE,Class 5,Mathematics,Foundation Mathematics,,15,Active,
2084,Chapter 15. Data Handling,15,ICSE,Class 5,Mathematics,Foundation Mathematics (2023-24),,15,Active,
2085,Chapter 15. The Articles,15,CBSE,Class 4,English,Elementary English Grammar and Composition,,15,Active,
2086,"Chapter 15. The Sun, the Moon and the Stars",15,CBSE,Class 1,Science,Science Success,,15,Active,
2087,Chapter 15. A Wonderful World of Stories,15,CBSE,Class 2,General Knowledge,General Knowledge Times (2023-24),,15,Active,
2088,Chapter 15. Air Around Us,15,CBSE,Class 6,Science,Science Success,,15,Active,
2089,Chapter 15. Air around Us,15,CBSE,Class 6,Science,Learning Elementary Science,,15,Active,
2090,Chapter 15. Angles,15,ICSE,Class 6,Mathematics,Foundation Mathematics,,15,Active,
2091,Chapter 15. Angles,15,ICSE,Class 6,Mathematics,Foundation Mathematics,,15,Active,
2092,Chapter 15. Angles,15,ICSE,Class 6,Mathematics,Foundation Mathematics (2023-24),,15,Active,
2093,Chapter 15. Areas,15,CBSE,Class 8,Mathematics,Exploring Mathematics,,15,Active,
2094,Chapter 15. Congruence of Triangles,15,CBSE,Class 7,Mathematics,Exploring Mathematics,,15,Active,
2095,Chapter 15. Directions,15,CBSE,Class 2,Environmental Studies,Blue Planet,,15,Active,
2096,"Chapter 15. E Commerce, Blogging and Podcasting",15,ICSE,Class 6,Computer Science,My Book of Computer Studies,,15,Active,
2097,Chapter 15. Famous Stories,15,CBSE,Class 1,General Knowledge,General Knowledge Times (2023-24),,15,Active,
2098,Chapter 15. Formation of Indian Union,15,CBSE,Class 5,Environmental Studies,Blue Planet,,15,Active,
2099,Chapter 15. Indian Election,15,CBSE,Class 4,Environmental Studies,Blue Planet (2023-24),,15,Active,
2100,Chapter 15. Indian Election,15,CBSE,Class 4,Environmental Studies,Blue Planet,,15,Active,
2101,Chapter 15. Inequalities,15,ICSE,Class 7,Mathematics,Foundation Mathematics (2023-24),,15,Active,
2102,Chapter 15. It's Time to Travel,15,CBSE,Class 1,Environmental Studies,Blue Planet,,15,Active,
2103,Chapter 15. Light,15,CBSE,Class 7,Science,Science Success,,15,Active,
2104,Chapter 15. Light,15,CBSE,Class 7,Science,Learning Elementary Science,,15,Active,
2105,Chapter 15. Linear Equations,15,ICSE,Class 8,Mathematics,Foundation Mathematics,,15,Active,
2106,Chapter 15. Linear Equations,15,ICSE,Class 8,Mathematics,Foundation Mathematics (2023-24),,15,Active,
2107,Chapter 15. Living and Non living,15,CBSE,Class 3,Environmental Studies,Blue Planet (2023-24),,15,Active,
2108,Chapter 15. Living and Non Living,15,CBSE,Class 3,Environmental Studies,Blue Planet,,15,Active,
2109,Chapter 15. More on Photoshop CS6,15,CBSE,Class 8,Computer Science,Computer Science Success,,15,Active,
2110,Chapter 15. My Box of Crayons,15,CBSE,Class 1,English,Get Smart A Multi-skill English Course,,15,Active,
2111,Chapter 15. Pollution and its Sources,15,ICSE,Class 10,Biology,A New Approach to ICSE Biology,,15,Active,
2112,Chapter 15. Prepositions,15,CBSE,Class 1,English,Elementary English Grammar and Composition,,15,Active,
2113,Chapter 15. Probability,15,CBSE,Class 10,Mathematics,NCERT Mathematics,,15,Active,
2114,Chapter 15. Probability,15,CBSE,Class 9,Mathematics,NCERT Mathematics,,15,Active,
2115,Chapter 15. Resources Their Types,15,CBSE,Class 8,Social Science,A Text Book of Social Sciences,,15,Active,
2116,"Chapter 15. Sentences: Simple, Compound and Complex",14,CBSE,Class 8,English Grammar,Step up English Grammar and Composition (For Acad. Year 2023-24),,14,Active,
2117,Chapter 15. Simple Future Tense,15,CBSE,Class 6,English Grammar,Step up English Grammar and Composition (For Acad. Year 2023-24),,15,Active,
2118,Chapter 15. Some Natural Phenomena,15,CBSE,Class 8,Science,Learning Elementary Science,,15,Active,
2119,Chapter 15. Some Natural Phenomena,15,CBSE,Class 8,Science,Science Success,,15,Active,
2120,Chapter 15. Structure and Functions of Skin,15,ICSE,Class 9,Biology,A New Approach to I.C.S.E. Biology (2023-24),,15,Active,
2121,Chapter 15. The Jolly Woodchuck,15,CBSE,Class 2,English,Get Smart A Multi-skill English Course,,15,Active,
2122,Chapter 15. The Working of The United Nations,15,CBSE,Class 5,Social Studies,Social Studies Success (2023-24),,15,Active,
2123,Chapter 15. Transport,15,ICSE,Class 10,Geography,A Textbook of Geography (2023-24),,15,Active,
2124,Chapter 15. Working with Animate CC,15,CBSE,Class 7,Computer Science,Computer Science Success,,15,Active,
2125,Chapter 15. गिरिधर की कुंडलियाँ,15,CBSE,Class 8,Hindi,Nootan Saral Hindi Mala,,15,Active,
2126,Chapter 15. जलवायु परिवर्तन के दुष्प्रभाव,15,CBSE,Class 6,Hindi,Nootan Saral Hindi Mala,,15,Active,
2127,Chapter 15. टोनी की डायरी,15,CBSE,Class 5,Hindi,Nootan Saral Hindi Mala,,15,Active,
2128,Chapter 15. प्रणति,15,CBSE,Class 7,Hindi,Nootan Saral Hindi Mala,,15,Active,
2129,Chapter 15.Time,15,CBSE,Class 5,Mathematics,Star Maths,,15,Active,
2130,Chapter 15.अमृतसर 1,15,CBSE,Class 3,Hindi,Bal Bhasha Bharti,,15,Active,
2131,Chapter 15.तितर  बितर,15,CBSE,Class 1,Hindi,Bal Bhasha Bharti,,15,Active,
2132,Chapter 15.बाँसुरीवाला,15,CBSE,Class 2,Hindi,Bal Bhasha Bharti,,15,Active,
2133,Chapter 15.समय बड़ा अनमोल,15,CBSE,Class 4,Hindi,Bal Bhasha Bharti,,15,Active,
2134,Chapter 15.सुनीता विलियम्स से रोचक बातचीत,15,CBSE,Class 5,Hindi,Bal Bhasha Bharti,,15,Active,
2135,Chapter 15काम कब हुआ? (काल),15,CBSE,Class 2,Hindi,Naveen Hindi Vyavaharik Vyakaran Tatha Rachna,,15,Active,
2136,Chapter 16 Ages,16,CBSE,Class 3,General Aptitude,Know Your Aptitude,,16,Active,
2137,Chapter 16 Ages,16,CBSE,Class 4,General Aptitude,Know Your Aptitude,,16,Active,
2138,Chapter 16 Knowing Our Earth,16,ICSE,Class 3,Social Studies,Essential Social Studies for (2023-24),,16,Active,
2139,Chapter 16 Shading Parts of Figures,16,CBSE,Class 5,General Aptitude,Know Your Aptitude,,16,Active,
2140,Chapter 16 The Tense,16,CBSE,Class 3,English,Elementary English Grammar and Composition,,16,Active,
2141,Chapter 16 : Chennai,16,CBSE,Class 3,Social Studies,Social Studies Success,,1,Active,
2142,Chapter 16 : Fundamental of Geometry Concepts,16,ICSE,Class 7,Mathematics,Foundation Mathematics,,16,Active,
2143,Chapter 16 : India and the United Nations,16,CBSE,Class 5,Social Studies,Social Studies Success,,1,Active,
2144,Chapter 16 : Mean And Median Of Ungrouped Data And Frequency Polygon,16,ICSE,Class 9,Mathematics,I.C.S.E. Foundation Mathematics (2023-24),,16,Active,
2145,Chapter 16 : Means of Transport,16,CBSE,Class 4,Social Studies,Social Studies Success,,1,Active,
2146,Chapter 16 : Plants Our Green Friends,16,CBSE,Class 3,Environmental Studies,Blue Planet,,16,Active,
2147,Chapter 16 : The Story of the Earth,16,CBSE,Class 2,Social Studies,Social Studies Success,,1,Active,
2148,Chapter 16 Adjectives : Degrees Of Comparison,16,CBSE,Class 5,English,Elementary English Grammar and Composition,,16,Active,
2149,Chapter 16 Another Chance,16,CBSE,Class 4,English,Get Smart A Multi-skill English Course,,16,Active,
2150,"Chapter 16 Art, Architecture And Culture",16,CBSE,Class 4,Social Studies,Essential Social Studies for (2023-24),,16,Active,
2151,"Chapter 16 Art, Architecture And Culture",16,CBSE,Class 4,Social Studies,Social Studies Success (2023-24),,16,Active,
2152,Chapter 16 Data Handling,16,CBSE,Class 7,Mathematics,Mathematics Success,,16,Active,
2153,Chapter 16 Dealing with People,16,CBSE,Class 8,English,Stepping Stones,,16,Active,
2154,Chapter 16 Degrees of Comparison,16,CBSE,Class 4,English Grammar,Step up English Grammar and Composition (For Acad. Year 2023-24),,16,Active,
2155,Chapter 16 Directions,16,CBSE,Class 2,Social Studies,Social Studies  for Juniors,,16,Active,
2156,Chapter 16 Discovery Of Fire,16,CBSE,Class 3,Social Studies,Social Studies Success (2023-24),,16,Active,
2157,Chapter 16 Effects Of Pollution,16,ICSE,Class 9,Geography,A Textbook of Geography (2023-24),,16,Active,
2158,Chapter 16 Effects of Pollution,16,ICSE,Class 9,Geography,A Textbook of Geography (2023-24),,16,Active,
2159,Chapter 16 Effects of Pollution on Climate and Environment,16,ICSE,Class 10,Biology,A New Approach to I.C.S.E. Biology (2023-24),,16,Active,
2160,Chapter 16 Festivals,16,CBSE,Class 1,Social Studies,Social Studies  for Juniors,,16,Active,
2161,Chapter 16 God Gave Me Eyes,16,CBSE,Class 3,English,Get Smart A Multi-skill English Course,,16,Active,
2162,"Chapter 16 Green, Green Everywhere",16,CBSE,Class 5,Moral Science,The Mirror of Values,,16,Active,
2163,Chapter 16 Harm No Living Thing,16,CBSE,Class 5,English,Get Smart A Multi-skill English Course,,16,Active,
2164,"Chapter 16 Has, Have, Had",16,CBSE,Class 3,English Grammar,Step up English Grammar and Composition (For Acad. Year 2023-24),,16,Active,
2165,Chapter 16 Houses,16,CBSE,Class 3,Social Studies,Illustrative Social Studies,,1,Inactive,
2166,Chapter 16 India And The United Nation,16,CBSE,Class 5,Social Studies,Social Studies  for Juniors,,16,Active,
2167,Chapter 16 India and the United Nations,16,CBSE,Class 5,Social Studies,Illustrative Social Studies,,16,Active,
2168,"Chapter 16 Joining Words: And, But",16,CBSE,Class 1,English Grammar,Step up English Grammar and Composition (For Acad. Year 2023-24),,16,Active,
2169,Chapter 16 Kolkata,16,CBSE,Class 3,Social Studies,Social Studies  for Juniors,,16,Active,
2170,Chapter 16 Light,16,CBSE,Class 8,Science,NCERT Science,,16,Active,
2171,Chapter 16 Linear Graphs,16,CBSE,Class 8,Mathematics,Mathematics Success (2023-24),,16,Active,
2172,Chapter 16 Major Rivers of India,16,ICSE,Class 4,Social Studies,Essential Social Studies for (2023-24),,16,Active,
2173,Chapter 16 Means of Communication,16,CBSE,Class 4,Social Studies,Social Studies  for Juniors,,16,Active,
2174,Chapter 16 Mirror Images,16,CBSE,Class 7,General Aptitude,Know Your Aptitude,,16,Active,
2175,Chapter 16 Mirror Images,16,CBSE,Class 8,General Aptitude,Know Your Aptitude,,16,Active,
2176,Chapter 16 My Financial Career,16,CBSE,Class 7,English,Stepping Stones,,16,Active,
2177,Chapter 16 Natural Resources,16,ICSE,Class 5,Social Studies,Essential Social Studies for (2023-24),,16,Active,
2178,Chapter 16 Never Give up,16,CBSE,Class 4,Moral Science,The Mirror of Values,,16,Active,
2179,Chapter 16 Patterns,16,ICSE,Class 4,Mathematics,Foundation Mathematics,,16,Active,
2180,Chapter 16 Perimeter and Area,16,CBSE,Class 7,Mathematics,Progress in Mathematics,,16,Active,
2181,Chapter 16 Plants Around Us,16,CBSE,Class 1,Environmental Studies,Blue Planet (2023-24),,16,Active,
2182,Chapter 16 Playing with Numbers,16,CBSE,Class 8,Mathematics,NCERT Mathematics,,16,Active,
2183,Chapter 16 Present Perfect Tense,16,CBSE,Class 5,English Grammar,Step up English Grammar and Composition (For Acad. Year 2023-24),,16,Active,
2184,Chapter 16 Shelter and Its Importance,16,CBSE,Class 5,Environmental Studies,Illustrative Environmental Studies,,16,Active,
2185,Chapter 16 Shelter for Everyone,16,CBSE,Class 4,Social Studies,Illustrative Social Studies,,16,Active,
2186,Chapter 16 Surface Area and Volume,16,CBSE,Class 8,Mathematics,Mathematics Success,,16,Active,
2187,Chapter 16 Sustainable Management of Natural Resources,16,CBSE,Class 10,Science,NCERT Science,,16,Active,
